Fecha,Pos,Day,Val
23/06/2025,0,0,0
23/06/2025,0,4,1
23/06/2025,1,2,1
23/06/2025,1,4,0
23/06/2025,2,0,1
23/06/2025,2,1,1
23/06/2025,2,2,0
23/06/2025,2,3,0
23/06/2025,3,1,0
23/06/2025,3,2,0
23/06/2025,3,3,1
23/06/2025,3,4,1
23/06/2025,4,1,0
23/06/2025,4,5,1
23/06/2025,5,0,0
23/06/2025,5,1,1
23/06/2025,5,2,1
23/06/2025,5,5,0
23/06/2025,6,0,0
23/06/2025,6,3,1
23/06/2025,6,4,1
23/06/2025,6,5,0
23/06/2025,7,0,1
23/06/2025,7,4,0
23/06/2025,8,3,0
23/06/2025,8,5,1
23/06/2025,9,0,1
23/06/2025,9,3,1
23/06/2025,9,4,0
23/06/2025,9,5,0
30/06/2025,0,0,1
30/06/2025,0,1,1
30/06/2025,0,2,1
30/06/2025,0,3,1
30/06/2025,4,4,0
30/06/2025,4,5,1
07/07/2025,0,1,0
07/07/2025,0,2,0
07/07/2025,0,4,1
07/07/2025,0,5,1
07/07/2025,3,0,1
07/07/2025,3,2,0
07/07/2025,3,3,1
07/07/2025,3,4,1
07/07/2025,3,5,1
07/07/2025,4,0,1
07/07/2025,4,2,1
07/07/2025,4,3,0
07/07/2025,4,5,0
07/07/2025,6,2,4
07/07/2025,8,1,1
07/07/2025,8,2,1
07/07/2025,8,3,1
07/07/2025,8,4,0
07/07/2025,8,5,0
07/07/2025,9,0,3
07/07/2025,9,1,3
07/07/2025,9,2,1
07/07/2025,9,3,1
07/07/2025,9,4,1
07/07/2025,9,5,0
07/07/2025,9,6,0
01/09/2025,6,0,2
01/09/2025,6,1,2
01/09/2025,6,2,2
01/09/2025,6,3,4
01/09/2025,6,4,2
01/09/2025,6,5,2
01/09/2025,6,6,0
08/09/2025,4,4,1
08/09/2025,5,0,2
08/09/2025,5,1,2
08/09/2025,5,2,2
08/09/2025,5,3,2
08/09/2025,5,4,2
08/09/2025,5,5,2
15/09/2025,4,0,2
21/07/2025,3,0,0
21/07/2025,3,3,1
21/07/2025,4,0,1
21/07/2025,4,3,0
21/07/2025,9,1,0
21/07/2025,9,3,1
14/07/2025,9,1,0
14/07/2025,9,3,1
14/07/2025,9,6,0
18/08/2025,1,1,1
18/08/2025,9,1,2
18/08/2025,9,2,2
